scene,h2,p
1,Welcome!,"Notes on Perspective is an embodied data visualization that invites you into a recital
critique at the Mannes School of Music between 14 ensemble members
studying Fantasiestücke Opus 73 by Robert Schumann."
2,About the data,"Throughout the performance, ensemble members
will agree or disagree with each other on positive
or negative reactions regarding various aspects of the music, 
such as tempo, character or rhythmic motion."
3,Interpreting what you see,"There are a couple different views to help you travel through the performance and 
really experience the data in time.  Just remember: gold represents positive reactions,
violet represents negative ones,  and blue represents mixed or neutral ones."
