cluster,raised,goal,donors,length,shares
11,12320,25000,38,2,16
15,12290,20000,93,4,113
1,12220,20000,97,5,529
15,12215,50000,99,5,522
8,12180,17500,143,4,541
1,12414,100000,117,4,453
1,12350,5000,117,4,155
11,12320,25000,38,2,16
15,12290,20000,93,4,113
1,12220,20000,97,5,529
15,12215,50000,99,5,522
8,12180,17500,143,4,541
4,12150,20000,100,3,340
15,12125,50000,140,4,1.0k
4,12055,10000,85,1,156
4,12055,10000,85,1,156
4,11912,50000,141,3,975
5,14012,15000,173,2,831
1,11845,20000,99,1,657
8,11770,65000,58,3,201
15,11756,20000,154,2,259
11,11675,25000,77,4,95
10,11665,15000,86,28,148
3,11545,20000,103,1,36
8,11530,50000,113,4,644
2,11498,15000,83,5,529
10,11467,20000,175,2,416
11,11455,95000,84,3,411
1,11363,100000,144,1,1.0k
12,11333,6000,96,2,277
6,11280,10000,89,1,218
12,11270,20000,45,2,19
16,11162,80000,56,1,123
1,11150,30000,82,4,379
11,11455,95000,84,3,411
1,11363,100000,144,1,1.0k
12,11333,6000,96,2,277
6,11280,10000,89,1,218
12,11270,20000,45,2,19
16,11162,80000,56,1,123
1,11150,30000,82,4,379
7,11103,13308,66,4,36
13,11100,17000,103,5,545
8,14431,16000,68,2,543
4,11009,18000,78,4,392
8,11000,11000,105,1,157
15,10975,10000,51,4,147
1,10972,175000,111,3,255
12,10990,20000,164,11,989
12,10965,50000,350,1,1.7k
4,10940,14000,163,3,864
11,10920,40000,79,4,206
12,10870,20000,104,10,679
15,10830,10000,137,4,843
6,10820,12000,103,4,327
6,10805,20000,37,5,295
15,10800,20000,169,1,556
2,10770,10500,146,3,1.2k
11,10755,20000,179,2,1.3k
8,10735,50000,117,1,279
1,10704,700000,47,2,583
17,10695,15000,114,5,855
4,10681,20000,90,4,162
3,10620,15000,73,3,565
1,10610,100000,107,3,424
8,10610,15000,70,1,238
8,10481,12000,57,5,222
1,10000,10000,77,5,111
4,10000,10000,82,4,297
4,10000,9000,81,2,225
16,9905,15000,89,4,309
9,9874,10000,67,5,243
10,9843,20000,109,25,322
15,9834,10000,111,6,883
1,9833,25000,111,1,450
17,9828,50000,81,4,749
8,9827,15000,138,4,918
1,10091,50000,145,5,654
16,10060,16000,88,4,114
12,10000,10000,129,1,819
1,10000,10000,77,5,111
4,10000,10000,82,4,297
4,10000,9000,81,2,225
2,9950,20000,95,4,380
16,9905,15000,89,4,309
9,9874,10000,67,5,243
10,9843,20000,109,25,322
15,9834,10000,111,6,883
18,9701,20000,109,3,713
12,10391,30000,117,1,177
11,9646,20000,89,1,301
1,9615,30000,129,3,789
2,24270,50000,141,5,585
8,9540,5000,108,1,46
13,9539,175000,138,1,1.1k
8,9500,20000,122,21,651
3,9500,5000,108,2,206
7,9480,20000,64,1,112
18,9465,9000,92,2,967
1,9450,30000,131,3,869
4,9325,5000,178,1,1.5k
11,9315,15000,115,2,240
11,9302,30000,92,12,746
9,9270,8000,98,4,280
6,9248,30000,52,4,142
2,9211,10000,50,4,315
19,9180,25000,99,15,808
0,9175,15000,48,1,475
6,12125,40000,49,9,52
5,54365,75000,51,4,309
15,9100,39500,100,2,372
9,9270,8000,98,4,280
6,9248,30000,52,4,142
2,9211,10000,50,4,315
19,9180,25000,99,15,808
0,9175,15000,48,1,475
6,12125,40000,49,9,52
5,54365,75000,51,4,309
15,9100,39500,100,2,372
7,8965,10000,103,4,134
1,8956,45000,84,5,459
10,9001,30000,80,4,111
7,8965,10000,103,4,134
1,8956,45000,84,5,459
10,9001,30000,80,4,111
2,8898,40000,102,4,836
1,8845,50000,79,4,208
2,8838,10000,79,1,896
8,17710,30000,247,17,476
11,8785,30000,64,1,781
18,8330,5000,175,5,917
3,8329,10000,68,17,251
10,8315,20000,60,6,80
2,8295,12500,111,2,7.2k
7,8282,10000,27,2,82
5,8265,30000,108,4,477
1,8400,10000,49,9,84
6,8250,10000,40,3,10
8,8240,8000,84,5,801
17,8225,100000,65,1,1.0k
15,8581,10000,107,5,503
12,8575,10000,100,3,371
15,8565,35000,77,1,354
12,8475,10000,85,4,776
9,8455,25000,92,3,305
7,22450,50000,44,5,250
4,8395,10000,111,4,260
4,8390,35000,101,3,327
15,10386,10000,46,4,114
13,8366,100000,112,2,1.2k
10,8315,20000,60,6,80
2,8295,12500,111,2,7.2k
7,8282,10000,27,2,82
5,8265,30000,108,4,477
1,8400,10000,49,9,84
6,8250,10000,40,3,10
8,8240,8000,84,5,801
17,8225,100000,65,1,1.0k
1,8200,10000,91,6,553
2,8200,12800,78,2,861
9,8180,20000,69,4,685
1,8179,1000,148,1,694
9,8135,15000,111,3,273
2,8099,115000,10,1,7
6,8085,10000,45,3,96
12,8073,50000,94,1,948
15,8065,7500,97,2,216
11,8055,48000,59,1,55
9,8030,7500,126,4,447
18,8018,50000,57,2,220
8,8015,10000,85,5,1.2k
18,8010,8000,85,5,421
6,8085,10000,45,3,96
12,8073,50000,94,1,948
15,8065,7500,97,2,216
9,8030,7500,126,4,447
18,8018,50000,57,2,220
8,8015,10000,85,5,1.2k
18,8010,8000,85,5,421
15,8000,65000,66,3,739
6,8000,10000,73,1,69
17,7950,50000,138,21,1.0k
15,7650,45000,77,4,330
8,7580,10000,90,5,248
13,7575,15000,89,1,1.0k
17,7518,6500,114,2,439
2,7515,10000,75,2,261
4,8029,10000,79,4,428
1,7445,12876,70,1,456
5,7430,7000,64,1,719
17,7780,100,41,4,215
8,7775,10000,122,4,343
10,7775,10000,39,5,276
11,7765,75000,43,2,210
2,7747,19500,55,5,352
4,7735,10000,73,4,201
18,7725,20000,84,2,242
8,7715,15000,81,2,243
15,7690,10000,112,3,535
4,17775,15000,81,5,1.2k
9,7660,100000,62,2,400
15,7650,45000,77,4,330
8,7580,10000,90,5,248
13,7575,15000,89,1,1.0k
17,7518,6500,114,2,439
2,7515,10000,75,2,261
4,8029,10000,79,4,428
1,7445,12876,70,1,456
5,7430,7000,64,1,719
2,7419,25000,109,4,451
3,7375,25000,47,4,76
4,7368,20000,63,5,462
6,7365,200000,127,1,533
1,7350,7000,49,14,140
17,7360,10000,102,5,431
6,7245,55000,39,5,314
4,7240,100000,92,12,411
12,7230,10000,62,4,445
11,7129,10000,85,4,205
1,7127,200000,81,3,747
12,7105,45000,64,1,927
4,7095,10000,115,3,469
2,7020,20000,39,6,313
8,7008,7500,77,4,308
16,7005,5000,79,5,425
7,7000,300000,47,5,184
15,6995,30000,44,3,484
10,6980,50000,89,29,679
14,6953,10000,43,5,265
16,7005,5000,79,5,425
7,7000,300000,47,5,184
15,6995,30000,44,3,484
10,6980,50000,89,29,679
14,6953,10000,43,5,265
16,6940,10000,71,5,486
1,6900,40000,45,5,149
8,6865,20000,67,3,144
1,6840,30000,61,5,84
12,6840,8000,73,4,179
1,6830,1,110,5,448
8,8000,7000,101,4,485
18,6710,5000,112,4,609
12,6700,70000,48,1,139
7,6740,50000,56,8,90
4,6650,10000,101,3,275
6,6640,20000,158,4,2.1k
7,6640,50000,50,18,291
17,6635,7500,56,3,404
4,6630,50000,37,3,224
13,6807,20000,74,7,95
1,6590,10000,95,4,61
6,6640,20000,158,4,2.1k
7,6640,50000,50,18,291
17,6635,7500,56,3,404
4,6630,50000,37,3,224
13,6807,20000,74,7,95
1,6590,10000,95,4,61
14,6585,10000,14,3,27
2,6569,12000,92,3,1.0k
4,6560,5000,106,3,195
1,6545,20000,55,2,127
12,6535,15000,93,1,465
7,6390,10000,60,2,120
2,6379,6000,84,2,89
13,6370,50000,55,2,1.1k
8,6370,20000,45,4,261
0,6354,20000,92,3,1.1k
0,6342,50000,53,2,357
1,6325,200000,85,4,1.0k
1,6324,50000,72,3,312
1,6310,5000,76,2,299
6,6303,20000,84,2,167
1,6220,10000,100,1,1.4k
11,6195,7500,114,2,481
6,6190,10000,73,3,269
10,6187,10000,80,3,639
10,6181,100000,39,2,100
7,6145,7500,51,2,92
1,6130,100,55,2,298
3,6098,40000,35,4,195
12,6035,7000,66,3,922
17,6075,10000,39,3,246
