CaseTotalKPI,Classification,Country,Culture,ObjectName,ObjectNumber
Overall Collection,Prints,,,Print,48.54.38
Overall Collection,Prints,,,Print,2005.131.2
Overall Collection,Books,,,Book,24.90.1962
Overall Collection,Miscellaneous,,,Miscellaneous,25.62.7r
Overall Collection,Prints,,,Print,53.538.5(13)
Overall Collection,Prints,,,Print,53.601.20(53)
Overall Collection,Prints,,,Print,53.601.20(14)
Overall Collection,Prints,,,Print,65.697.9
Overall Collection,Prints,,,Print,2006.50.76
Overall Collection,Prints,,,Print,49.97.367
Overall Collection,Books,,,Book,1993.1077(18)
Overall Collection,Prints,,,Print,53.600.823
Overall Collection,Prints,,,Print,53.600.51(29)
Overall Collection,Prints,,,Print,66.588.2
Overall Collection,Books,,,Book,41.100.382
Overall Collection,Prints,,,Print,31.96.3
Overall Collection,Prints,,,Print,62.674.164(a)
Overall Collection,Prints,,,Print,55.572.30
Overall Collection,Prints,,,Print,55.572.120
Overall Collection,Prints,,,Print,46.105.16
Overall Collection,Prints,,,Print,43.33.134
Overall Collection,Prints,,,Print,43.46.94
Overall Collection,Prints,,,Print,43.33.1019
Overall Collection,Prints,,,Print,43.33.232
Overall Collection,Prints,,,Print,43.33.727
Overall Collection,Prints,,,Print,43.33.1022
Overall Collection,Prints,,,Print,27.53.4
Overall Collection,Prints,,,Print,40.111.12
Overall Collection,Prints,,,Print,34.104.16
Overall Collection,Prints,,,Print,34.104.71
Overall Collection,Prints,,,Print,43.47.54
Overall Collection,Prints,,,Print,2007.49.515
Overall Collection,Prints,,,Print,2007.49.437
Overall Collection,Prints,,,Print,2006.579.6
Overall Collection,Prints,,,Print,51.501.1547
Overall Collection,Prints,,,Print,41.44.1501
Overall Collection,Prints,,,Print,17.3.756_2014
Overall Collection,Prints,,,Print,17.3.463
Overall Collection,Prints,,,Print,42.66.18
Overall Collection,Prints,,,Print,1985.1119.11
Overall Collection,Prints,,,Print,1985.1119.41
Overall Collection,Prints,,,Print,1986.1180.1157
Overall Collection,Prints,,,Print,65.697.1
Overall Collection,Prints|Albums,,,Print,1994.610(47)
Overall Collection,Drawings,,,Drawing,23.112.1011
Overall Collection,Drawings,,,Drawing,23.112.1147
Overall Collection,Drawings,,,Drawing,23.112.2285
Overall Collection,Albums|Drawings,,,Album,48.93.4
Overall Collection,Drawings,,,Drawing,1982.1064.12
Overall Collection,Books,,,Book,53.600.42
Overall Collection,Prints,,,Print,54.90.647
Overall Collection,Prints,,,Print,54.90.692
Overall Collection,Prints,,,Print,54.90.1017
Overall Collection,Books,,,Book,49.50.431(1-4)
Overall Collection,Prints,,,Print,24.90.600
Overall Collection,Miscellaneous,,,Magazine,1982.1051.12
Overall Collection,Drawings,,,Drawing,65.715.10
Overall Collection,Drawings,,,Drawing,68.701.4
Overall Collection,Drawings,,,Drawing,69.632.10
Overall Collection,Prints,,,Print,23.22.1(63)
Overall Collection,Prints,,,Print,37.10.4(6)
Overall Collection,Prints,,,Print,37.10.1(2)
Overall Collection,Prints,,,Print,26.72.183
Overall Collection,Prints,,,Print,27.88.1(64b)
Overall Collection,Drawings|Ornament & Architecture,,,Drawing ; Architecture and Ornament,58.511(47)
Overall Collection,Drawings|Ornament & Architecture,,,Drawing ; Architecture and Ornament,58.511(53)
Overall Collection,Prints,,,Print,2009.161
Overall Collection,Plates,,,Plate,2008.534
Overall Collection,Prints,,,Print,33.79.16
Overall Collection,Drawings,,,Drawing,56.500.175
Overall Collection,Prints,,,Print,1970.703.51
Overall Collection,Prints,,,Print,19.13.7
Overall Collection,Prints,,,Print,19.13.27
Overall Collection,Prints,,,Print,21.36.58(37)
Overall Collection,Prints,,,Print,2009.163
Overall Collection,Blocks,,,Block,14.41
Overall Collection,Blocks,,,Block,18.25.61
Overall Collection,Prints,,,Print,66.748.18
Overall Collection,Blocks,,,Block,48.155
Overall Collection,Blocks,,,Block,1981.1037.19
Overall Collection,Plates,,,Plate,31.96.4
Overall Collection,Drawings,,,Drawing,67.827.423
Overall Collection,Prints,,,Print,23.67.11
Overall Collection,Prints,,,Print,51.501.7033
Overall Collection,Prints,,,Print,64.625.8(2)
Overall Collection,Prints,,,Print,67.503.46
Overall Collection,Prints,,,Print,17.37.86
Overall Collection,Prints,,,Print,49.95.1229(1)
Overall Collection,Prints,,,Print,1993.1037.9
Overall Collection,Prints,,,Print,WW.781
Overall Collection,Prints,,,Print,60.560.14
Overall Collection,Prints,,,Print,24.90.1399
Overall Collection,Prints,,,Print,83.2.728
Overall Collection,Drawings,,,Drawing,48.171.1
Overall Collection,Drawings,,,Drawing,59.546.5
Overall Collection,Prints,,,Print,WW.177
Overall Collection,Prints,,,Print,40.93.10_.20
Overall Collection,Drawings,,,Drawing,54.90.198
Overall Collection,Albums|Drawings,,,Album,54.90.455-.469
Overall Collection,Prints,,,Print,42.34.31-.34
Overall Collection,Prints,,,Print,WW.778
Overall Collection,Prints,,,Print,39.4.1
Overall Collection,Prints,,,Print,33.30(5)
Overall Collection,Prints,,,Print,33.30(7)
Overall Collection,Prints,,,Print,62.602.261(11)
Overall Collection,Prints,,,Print,83.2.1149
Overall Collection,Prints,,,Print,62.602.259
Overall Collection,Prints,,,Print,63.550.259
Overall Collection,Prints,,,Print,42.121(73)
Overall Collection,Prints,,,Print,62.545.13(2)
Overall Collection,Drawings,,,Drawing,2010.341.2(22)
Overall Collection,Prints,,,Print,57.658.21(1)
Overall Collection,Prints,,,Print,59.599.26
Overall Collection,Prints,,,Print,47.53.4
Overall Collection,Posters,,,Poster,1982.1017.4
Overall Collection,Books,,,Book,Ref.1946.1961
Overall Collection,Books,,,Book,58.644(4)
Overall Collection,Books,,,Book,59.614.2
Overall Collection,Prints,,,Print,1978.570.5
Overall Collection,Prints,,,Print,64.557.32
Overall Collection,Prints,,,Print,64.557.24
Overall Collection,Prints,,,Print,64.557.59
Overall Collection,Prints,,,Print,59.508.76
Overall Collection,Prints,,,Print,41.97.144
Overall Collection,Posters,,,Poster,1972.535.83
Overall Collection,Posters,,,Poster,1972.535.762
Overall Collection,Cut Paper,,,Cut paper,Burdick.silhouette
Overall Collection,Prints,,,Print,21.19.34
Overall Collection,Prints,,,Print,56.567.49
Overall Collection,Prints,,,Print,43.20.16
Overall Collection,Prints,,,Print,2011.381.2
Overall Collection,Prints,,,Print,1979.673.4
Overall Collection,Prints,,,Print,43.33.345
Overall Collection,Prints,,,Print,43.33.897
Overall Collection,Prints,,,Print,1970.692.12
Overall Collection,Prints,,,Print,26.28.152(48)
Overall Collection,Prints,,,Print,22.81.43
Overall Collection,Drawings,,,Drawing,2012.136.884
Overall Collection,Prints,,,Print,62.557.156(7)
Overall Collection,Photographs|Ephemera,,,"Baseball card, photograph",63.350.214.173.130
Overall Collection,Photographs|Ephemera,,,"Baseball card, photograph",63.350.214.173.136
Overall Collection,Prints|Ephemera,,,Print,63.350.214.162.39
Overall Collection,Prints|Ephemera,,,Print,63.350.214.162.44
Overall Collection,Prints|Ephemera,,,Print,63.350.214.167.5
Overall Collection,Prints,,,Print,49.74.156
Overall Collection,Prints,,,Print,51.501.3914
Overall Collection,Photographs|Ephemera,,,"Baseball card, photograph",63.350.214.172.125
Overall Collection,Prints,,,Print,51.501.3887
Overall Collection,Photographs|Ephemera,,,"Baseball card, photograph",63.350.214.172.140
Overall Collection,Prints|Ephemera,,,Print,48.61(1)
Overall Collection,Photographs|Ephemera,,,"Baseball card, photograph",63.350.214.172.316
Overall Collection,Photographs|Ephemera,,,"Baseball card, photograph",63.350.214.172.329
Overall Collection,Prints,,,Print,54.501.1(10)
Overall Collection,Prints,,,Print,51.501.4031
Overall Collection,Prints|Ephemera,,,Baseball card,63.350.241.3.49
Overall Collection,Prints,,,Print,51.501.4115
Overall Collection,Photographs|Ephemera,,,"Baseball card, photograph",63.350.214.172.469
Overall Collection,Photographs|Ephemera,,,"Baseball card, photograph",63.350.214.172.507
Overall Collection,Prints,,,Print,35.6(47)
Overall Collection,Prints,,,Print,35.6(73)
Overall Collection,Prints,,,Print,57.650.412(9)
Overall Collection,Photographs|Ephemera,,,"Baseball card, photograph",63.350.215.172.1208
Overall Collection,Photographs|Ephemera,,,"Baseball card, photograph",63.350.215.172.1316
Overall Collection,Photographs|Ephemera,,,"Baseball card, photograph",63.350.215.172.1534
Overall Collection,Photographs|Ephemera,,,"Baseball card, photograph",63.350.215.172.1547
Overall Collection,Prints,,,Print,41.72(1.4)
Overall Collection,Photographs|Ephemera,,,"Baseball card, photograph",63.350.215.172.1575
Overall Collection,Prints|Ephemera,,,Print,"Burdick 317, R40.228"
Overall Collection,Prints|Ephemera,,,Print,"Burdick 318, R69.284"
Overall Collection,Prints,,,Print,41.71.1.1(66)
Overall Collection,Photographs|Ephemera,,,"Baseball card, photograph",63.350.215.172.1738
Overall Collection,Prints,,,Print,41.71.1.2(32)
Overall Collection,Prints|Ephemera,,,Print,"Burdick 318, R69.193"
Overall Collection,Prints|Ephemera,,,Print,"Burdick 318, R69.254"
Overall Collection,Prints,,,Print,41.71.1.3(52)
Overall Collection,Prints,,,Print,41.71.1.4(53)
Overall Collection,Photographs|Ephemera,,,Photograph,63.350.215.171.71
Overall Collection,Prints,,,Print,41.71.1.7(30)
Overall Collection,Prints|Ephemera,,,Print,63.350.214.163.6
Overall Collection,Photographs|Ephemera,,,Photograph,63.350.215.171.160
Overall Collection,Photographs|Ephemera,,,Photograph,63.350.215.171.204
Overall Collection,Prints,,,Print,41.71.1.8(36)
Overall Collection,Prints,,,Print,41.71.1.8(38)
Overall Collection,Prints,,,Print,41.71.1.8(92)
Overall Collection,Prints,,,Print,41.71.1.10(46)
Overall Collection,Prints,,,Print,62.602.85
Overall Collection,Albums|Photographs|Ephemera,,,Album,Burdick 215(46)
Overall Collection,Prints,,,Print,41.71.1.12(10)
Overall Collection,Prints,,,Print,53.521.13(34)
Overall Collection,Prints,,,Print,41.71.1.16(6)
Overall Collection,Prints|Ephemera,,,Print,Burdick 241(82)
Overall Collection,Drawings,,,Drawing,2012.365
Overall Collection,Prints,,,Print,41.71.1.21(18)
Overall Collection,Prints,,,Print,41.71.1.21(65)
Overall Collection,Prints,,,Print,41.71.1.24(18)
Overall Collection,Prints,,,Print,41.71.1.25(2)
Overall Collection,Prints|Ephemera,,,Baseball card,"Burdick 325, R320.81"
Overall Collection,Prints|Ephemera,,,Print,63.350.201.16.89
Overall Collection,Prints,,,Print,41.71.1.26(25)
Overall Collection,Prints|Ephemera,,,Baseball card,"Burdick 325, R321.12"
Overall Collection,Prints,,,Print,23.11.3
Overall Collection,Prints|Ephemera,,,Baseball card,"Burdick 325, R323.25"
Overall Collection,Prints,,,Print,1984.1158(37)
Overall Collection,Prints,,,Print,61.653.19
Overall Collection,Prints|Ephemera,,,Baseball card,"Burdick 325, R327.11"
Overall Collection,Prints,,,Print,20.57(3)
Overall Collection,Prints|Ephemera,,,Print,Burdick 201(37)
Overall Collection,Prints,,,Print,61.538.1(1.8)
Overall Collection,Prints,,,Print,61.538.1(2.49)
Overall Collection,Prints|Ephemera,,,Baseball card,"Burdick 325, R330.13"
Overall Collection,Prints|Ephemera,,,Baseball card,"Burdick 325, R330.42"
Overall Collection,Prints|Ephemera,,,Baseball card,"Burdick 325, R331.14"
Overall Collection,Prints|Ephemera,,,Baseball card,"Burdick 325, R332.31"
Overall Collection,Prints|Ephemera,,,Baseball card,63.350.246.207.61
Overall Collection,Prints|Ephemera,,,"Baseball card, print","Burdick 315, E136.106"
Overall Collection,Books,,,Book,65.618.1
Overall Collection,Prints|Ephemera,,,Baseball card,63.350.246.206.11
Overall Collection,Prints|Ephemera,,,Baseball card,63.350.246.206.55
Overall Collection,Prints|Ephemera,,,Baseball card,"Burdick 326, R334.54"
Overall Collection,Prints|Ephemera,,,Baseball card,"Burdick 326, R334.87"
Overall Collection,Prints|Ephemera,,,Baseball card,"Burdick 326, R334.124"
Overall Collection,Prints|Ephemera,,,Baseball card,"Burdick 326, R334.144"
Overall Collection,Prints,,,Print,42.24(54)
Overall Collection,Prints|Ephemera,,,Baseball card,63.350.246.206.342
Overall Collection,Prints|Ephemera,,,Baseball card,"Burdick 326, R335.144"
Overall Collection,Prints|Ephemera,,,Baseball card,"Burdick 326, R335.147"
Overall Collection,Prints|Ephemera,,,Baseball card,"Burdick 326, R335.235"
Overall Collection,Prints|Ephemera,,,Baseball card,63.350.246.206.446
Overall Collection,Prints|Ephemera,,,Baseball card,"Burdick 315, E145.124"
Overall Collection,Prints|Ornament & Architecture,,,Collection Ornament & Architecture,53.600.1013
Overall Collection,Prints,,,Print,49.50.247
Overall Collection,Prints,,,Print,49.74.137
Overall Collection,Prints,,,Print,50.587.27
Overall Collection,Books,,,Book,53.642.5
Overall Collection,Prints,,,Print,51.567.76
Overall Collection,Prints,,,Print,1985.1123.28(4)
Overall Collection,Prints|Ephemera,,,Print,"Burdick 326, R401-2.64"
Overall Collection,Prints|Ephemera,,,Print,"Burdick 326, R401-3.26"
Overall Collection,Prints|Ephemera,,,Print,"Burdick 326, R405.4"
Overall Collection,Prints|Ephemera,,,Print,"Burdick 326, R405.21"
Overall Collection,Prints,,,Print,41.1.99
Overall Collection,Prints,,,Print,41.44.37
Overall Collection,Prints,,,Print,57.650.430
Overall Collection,Prints,,,Print,17.50.17-482
Overall Collection,Prints|Ephemera,,,Baseball card,"Burdick 326, R406-2.34"
Overall Collection,Prints,,,Print,17.50.17-507
Overall Collection,Prints|Ephemera,,,Baseball card,"Burdick 308, D359.9"
Overall Collection,Prints,,,Print,57.650.304(18)
Overall Collection,Prints,,,Print,57.650.300(28)
Overall Collection,Prints,,,Print,53.601.13(171)
Overall Collection,Prints,,,Print,51.501.3314
Overall Collection,Prints,,,Print,18.17.2-178
Overall Collection,Prints,,,Print,51.501.3319
Overall Collection,Photographs|Ephemera,,,Photograph,Burdick 203(1)
Overall Collection,Prints,,,Print,17.37.146
Overall Collection,Prints|Ornament & Architecture,,,Prints Collection Ornament & Architecture,51.510.778
Overall Collection,Photographs|Ephemera,,,Photograph,63.350.213.152.41
Overall Collection,Photographs|Ephemera,,,Photograph,63.350.213.152.190
Overall Collection,Prints,,,Print,57.650.422(22)
Overall Collection,Photographs|Ephemera,,,Photograph,63.350.213.152.267
Overall Collection,Photographs|Ephemera,,,Photograph,63.350.213.153.10
Overall Collection,Photographs|Ephemera,,,Photograph,63.350.213.155.11
Overall Collection,Photographs|Ephemera,,,Photograph,63.350.213.155.12
Overall Collection,Photographs|Ephemera,,,Photograph,63.350.213.155.44
Overall Collection,Prints,,,Print,17.50.17-371(238)
Overall Collection,Prints,,,Print,17.50.17-371(252)
Overall Collection,Photographs|Ephemera,,,Photograph,63.350.213.158.3
Overall Collection,Drawings|Ornament & Architecture,,,Drawing ; Ornament and Architecture,59.508.94(19)
Overall Collection,Prints,,,Print,17.50.17-371(297)
Overall Collection,Prints,,,Print,17.50.17-371(5)
Overall Collection,Prints,,,Print,17.50.17-371(67)
Overall Collection,Prints,,,Print,24.90.1204
Overall Collection,Prints,,,Print,57.650.386(3)
Overall Collection,Prints,,,Print,1982.1164.2
Overall Collection,Prints,,,Print,57.650.319
Overall Collection,Prints,,,Print,57.650.424(15)
Overall Collection,Prints,,,Print,57.650.419(93)
Overall Collection,Prints|Ephemera,,,Print,Burdick 202(31)
Overall Collection,Prints|Ephemera,,,Print,63.350.241.2.10
Overall Collection,Prints,,,Print,1980.1133.14
Overall Collection,Drawings|Ornament & Architecture,,,Drawing Ornament & Architecture,64.503.83
Overall Collection,Drawings|Ornament & Architecture,,,Drawing Ornament & Architecture,64.503.136
Overall Collection,Drawings|Ornament & Architecture,,,Drawing Ornament & Architecture,64.503.154
Overall Collection,Prints,,,Print,24.33(50)
Overall Collection,Prints|Ephemera,,,Print,63.350.204.87.24
Overall Collection,Prints|Ephemera,,,Print,63.350.204.87.33
Overall Collection,Prints|Ephemera,,,Print,63.350.204.80.23
Overall Collection,Prints|Ephemera,,,Print,63.350.204.86.190
Overall Collection,Prints,,,Print,30.67.1(22)
Overall Collection,Prints,,,Print,54.90.966
Overall Collection,Prints,,,Print,46.132.1(89)
Overall Collection,Prints,,,Print,46.132.1(118)
Overall Collection,Prints|Ephemera,,,Print,63.350.204.91.45
Overall Collection,Prints,,,Print,67.698.7
Overall Collection,Prints|Ephemera,,,"Baseball card, print","Burdick 314, E136.9"
Overall Collection,Portfolios,,,Print,1978.558.3(1_32)
Overall Collection,Prints|Ornament & Architecture,,,Print Collection Ornament & Architecture,59.570.51
Overall Collection,Prints|Ephemera,,,Print,63.350.205.103.5
Overall Collection,Prints|Ephemera,,,Print,63.350.205.98.8
Overall Collection,Prints|Ephemera,,,Print,63.350.205.94.21
Overall Collection,Prints|Ephemera,,,Print,63.350.205.99.9
Overall Collection,Prints|Ephemera,,,Print,63.350.205.99.17
Overall Collection,Prints|Ephemera,,,Print,Burdick 205(16)
Overall Collection,Prints,,,Print,1976.661(2)
Overall Collection,Photographs|Ephemera,,,Photograph,"Burdick 315, E184.31"
Overall Collection,Prints,,,Print,63.509.4
Overall Collection,Prints|Ephemera,,,"Baseball card, print","Burdick 315, E210.14"
Overall Collection,Prints,,,Print,29.88.6(10)
Overall Collection,Prints|Ephemera,,,"Baseball card, print","Burdick 314, E120.229"
Overall Collection,Prints|Ephemera,,,"Baseball card, print","Burdick 314, E120.240"
Overall Collection,Prints|Ornament & Architecture,,,Print collection ornament & architecture,53.600.1016(4)
Overall Collection,Prints|Ephemera,,,Print,"Burdick 314, E29.36"
Overall Collection,Prints|Ephemera,,,Print,"Burdick 314, E32.43"
Overall Collection,Prints|Ephemera,,,Print,"Burdick 314, E30.12"
Overall Collection,Prints,,,Print,51.504.43
Overall Collection,Prints|Ornament & Architecture,,,Print collection ornament & architecture,33.84(1.7)
Overall Collection,Prints|Ornament & Architecture,,,Print collection ornament & architecture,33.84(1.118)
Overall Collection,Prints|Ornament & Architecture,,,Print collection ornament & architecture,33.84(2.14)
Overall Collection,Drawings,,,Drawing,65.713.129
Overall Collection,Prints|Ornament & Architecture,,,Print collection ornament & architecture,33.84(2.88)
Overall Collection,Prints|Ornament & Architecture,,,Print collection ornament & architecture,33.84(2.90)
Overall Collection,Prints|Ornament & Architecture,,,Print collection ornament & architecture,33.84(2.98)
Overall Collection,Prints|Ornament & Architecture,,,Print collection ornament & architecture,33.84(2.113)
Overall Collection,Prints|Ornament & Architecture,,,Print collection ornament & architecture,33.84(2.114)
Overall Collection,Prints|Ephemera,,,Print,"Burdick 314, E17.29"
Overall Collection,Prints|Ephemera,,,Print,"Burdick 314, E17.55"
Overall Collection,Prints|Ephemera,,,Print,"Burdick 314, E18.21"
Overall Collection,Prints|Ornament & Architecture,,,Print collection ornament & architecture,33.84(2.191)
Overall Collection,Prints|Ornament & Architecture,,,Print,58.509.25
Overall Collection,Prints,,,Print,56.574.12
Overall Collection,Prints|Ornament & Architecture,,,Print collection ornament & architecture,33.84(2.228)
Overall Collection,Prints|Ephemera,,,Print,"Burdick 314, E123.11"
Overall Collection,Prints|Ornament & Architecture,,,Print collection ornament & architecture,33.84(3.14)
Overall Collection,Prints|Ephemera,,,Print,"Burdick 314, E123.85"
Overall Collection,Prints,,,Print,1973.582.30
Overall Collection,Prints,,,Print,1973.582.46
Overall Collection,Prints|Ornament & Architecture,,,Print collection ornament & architecture,33.84(3.67)
Overall Collection,Prints|Ornament & Architecture,,,Print collection ornament & architecture,33.84(3.188)
Overall Collection,Drawings,,,Drawing,50.187.47
Overall Collection,Prints|Ornament & Architecture,,,Print collection ornament & architecture,33.84(3.194)
Overall Collection,Prints|Ephemera,,,Print,"Burdick 314, E47.6"
Overall Collection,Prints|Ornament & Architecture,,,Print collection ornament & architecture,33.84(4.1)
Overall Collection,Prints,,,Print,55.553.81
Overall Collection,Prints|Ephemera,,,"Baseball card, print","Burdick 314, E91.11"
Overall Collection,Prints,,,Print,49.95.1128
Overall Collection,Prints,,,Print,21.36.284
Overall Collection,Prints|Ephemera,,,"Baseball card, print","Burdick 315, E136.179"
Overall Collection,Prints,,,Print,51.501.234
Overall Collection,Prints|Ephemera,,,"Baseball card, print",63.350.246.210.88
Overall Collection,Prints|Ephemera,,,"Baseball card, print",63.350.246.210.103
Overall Collection,Prints|Ephemera,,,"Baseball card, print",63.350.246.205.74
Overall Collection,Prints|Ornament & Architecture,,,Print collection ornament & architecture,47.100.834
Overall Collection,Prints|Ephemera,,,"Baseball card, print",63.350.246.201.24
Overall Collection,Prints|Ephemera,,,"Baseball card, print",63.350.246.210.62
Overall Collection,Prints|Ephemera,,,"Baseball card, print","Burdick 315, E254.103"
Overall Collection,Prints|Ephemera,,,"Baseball card, print","Burdick 315, E254.124"
Overall Collection,Prints|Ephemera,,,"Baseball card, print","Burdick 315, E254.157"
Overall Collection,Prints|Ephemera,,,"Baseball card, print","Burdick 315, E254.225"
Overall Collection,Prints|Ephemera,,,"Baseball card, print","Burdick 314, E102.10"
Overall Collection,Prints|Ornament & Architecture,,,Print collection ornament & architecture,18.62.4(70)
Overall Collection,Prints|Ornament & Architecture,,,Print collection ornament & architecture,18.62.4(101)
Overall Collection,Prints|Ornament & Architecture,,,Print collection ornament & architecture,18.62.4(102)
Overall Collection,Prints|Ephemera,,,Print,"Burdick 314, E7.25"
Overall Collection,Prints|Ephemera,,,Print,"Burdick 314, E8.10"
Overall Collection,Ornament & Architecture|Prints,,,Print ornament & architecture,49.95.2631(24)
Overall Collection,Prints|Ephemera,,,Print,"Burdick 314, E4.14"
Overall Collection,Prints,,,Print,41.97.286(5a)
Overall Collection,Albums|Ephemera,,,Album,Burdick 314
Overall Collection,Ornament & Architecture|Prints,,,Print ornament & architecture,51.501.6076(1)
Overall Collection,Albums|Ephemera,,,Album,Burdick 314(21)
Overall Collection,Prints|Ephemera,,,"Baseball card, print",63.350.246.205.94
Overall Collection,Ornament & Architecture|Prints,,,Print ornament & architecture,51.501.6076(11)
Overall Collection,Prints,,,Print,1979.655.7
Overall Collection,Prints|Ephemera,,,"Baseball card, print",63.350.246.205.181
Overall Collection,Prints,,,Print,1979.655.20(1)
Overall Collection,Prints,,,Print,35.85.14
Overall Collection,Ornament & Architecture|Prints,,,Print ornament & architecture,46.9(37)
Overall Collection,Prints|Ornament & Architecture,,,Print,26.103
Overall Collection,Prints|Ephemera,,,"Baseball card, print",63.350.246.205.210
Overall Collection,Prints,,,Print,59.508.34
Overall Collection,Prints,,,Print,53.600.673
Overall Collection,Prints,,,Print,53.600.781
Overall Collection,Prints|Ephemera,,,"Baseball card, print",63.350.246.207.134
Overall Collection,Prints,,,Print,49.95.129
Overall Collection,Prints,,,Print,51.501.3613
Overall Collection,Photographs|Ephemera,,,Photograph,63.350.221.275.64
Overall Collection,Prints,,,Print,51.501.3628
Overall Collection,Prints|Ephemera,,,Print,63.350.221.281.9
Overall Collection,Prints,,,Print,66.548.18
Overall Collection,Prints,,,Print,66.548.23
Overall Collection,Prints|Ephemera,,,Print,63.350.246.180.13
Overall Collection,Prints,,,Prints,60.673.12
Overall Collection,Prints,,,Print,1976.664(23)
Overall Collection,Drawings,,,Drawing,23.112.2239
Overall Collection,Prints,,,Print,Museum Accession.7
Overall Collection,Prints|Ephemera,,,Print,"Burdick 327, R407-4.5"
Overall Collection,Prints|Ephemera,,,Print,"Burdick 222, N310.21"
Overall Collection,Prints|Ephemera,,,Print,"Burdick 328, R407-4.85"
Overall Collection,Prints|Ephemera,,,Print,"Burdick 328, R407-5.17"
Overall Collection,Prints,,,Print,28.4(195)
Overall Collection,Prints|Ephemera,,,Print,"Burdick 328, R407-5.40"
Overall Collection,Prints|Ephemera,,,Print,"Burdick 328, R407-5.68"
Overall Collection,Prints|Ephemera,,,Print,"Burdick 328, R411.17"
Overall Collection,Prints|Ephemera,,,Print,"Burdick 328, R411.38"
Overall Collection,Prints,,,Print,49.46.53
Overall Collection,Prints|Ephemera,,,Print,"Burdick 327, R407-2.91"
Overall Collection,Prints|Ephemera,,,Print,"Burdick 327, R407-3.9"
Overall Collection,Prints|Ephemera,,,Print,"Burdick 327, R407-3.47"
Overall Collection,Prints|Ephemera,,,Print,63.350.242.37.30
Overall Collection,Prints,,,Print,1971.559.5(24)
Overall Collection,Prints|Ephemera,,,Print,63.350.243.51.59
Overall Collection,Prints|Ephemera,,,"Print, baseball card","Burdick 328, R414-5.89"
Overall Collection,Prints|Ephemera,,,Print,63.350.243.51.165
Overall Collection,Prints|Ephemera,,,Print,63.350.244.76.12
Overall Collection,Prints|Ephemera,,,Print,63.350.244.76.57
Overall Collection,Prints|Ephemera,,,Print,63.350.246.121.129
Overall Collection,Prints|Ephemera,,,Print,63.350.244.76.71
Overall Collection,Prints|Ephemera,,,Print,63.350.244.76.73
Overall Collection,Prints|Ephemera,,,Print,63.350.244.76.94
Overall Collection,Prints|Ephemera,,,Print,63.350.246.121.195
Overall Collection,Prints|Ephemera,,,Print,63.350.244.76.190
Overall Collection,Prints|Ephemera,,,Print,"Burdick 327, R407-2.136"
Overall Collection,Prints|Ephemera,,,Print,63.350.243.62.64
Overall Collection,Prints,,,Print,23.61(13)
Overall Collection,Prints|Ephemera,,,Print,63.350.243.59.22
Overall Collection,Prints|Ephemera,,,Print,63.350.243.59.49
Overall Collection,Prints|Ephemera,,,Print,"Burdick 336, V104.127"
Overall Collection,Prints|Ephemera,,,Print,"Burdick 318, R73.239"
Overall Collection,Prints|Ephemera,,,Print,63.350.243.62.264
Overall Collection,Prints|Ephemera,,,Print,63.350.243.62.334
Overall Collection,Prints|Ephemera,,,Print,63.350.243.62.355
Overall Collection,Prints|Ephemera,,,Print,63.350.243.62.371
Overall Collection,Prints|Ephemera,,,Print,"Burdick 337, V255.54"
Overall Collection,Prints|Ephemera,,,Print,"Burdick 337, V255.62"
Overall Collection,Prints|Ephemera,,,Print,63.350.221.280.35
Overall Collection,Prints|Ephemera,,,Print,"Burdick 337, V301.67"
Overall Collection,Prints|Ephemera,,,Print,"Burdick 337, V301.90"
Overall Collection,Prints|Ephemera,,,Print,"Burdick 339, V356.94"
Overall Collection,Prints,,,Print,23.61(50)
Overall Collection,Prints|Ephemera,,,"Baseball card, print",63.350.246.209.23
Overall Collection,Albums|Ephemera,,,Album,Burdick 246(20)
Overall Collection,Albums|Ephemera,,,Album,Burdick 246(24)
Overall Collection,Prints,,,Print,57.650.162
Overall Collection,Prints|Ephemera,,,"Print, baseball card","Burdick 328, R414-6.22"
Overall Collection,Prints|Ephemera,,,"Print, baseball card","Burdick 328, R414-6.44"
Overall Collection,Prints|Ephemera,,,"Print, baseball card","Burdick 328, R414-6.105"
Overall Collection,Prints|Ephemera,,,Print,63.350.207.140.1
Overall Collection,Prints,,,Print,49.74.48
Overall Collection,Prints|Ephemera,,,"Baseball card, print","Burdick 328, R414-7.12"
Overall Collection,Prints,,,Print,1986.1180.954
Overall Collection,Albums|Ephemera,,,Album,Burdick 328(5)
Overall Collection,Albums|Ephemera,,,Album,Burdick 328(50)
Overall Collection,Photographs|Ephemera,,,Print,63.350.207.145.1.39
Overall Collection,Prints,,,print,53.601.15(48)
Overall Collection,Photographs|Ephemera,,,Print,63.350.207.145.1.191
Overall Collection,Photographs|Ephemera,,,Print,63.350.207.145.1.209
Overall Collection,Photographs|Ephemera,,,Print,63.350.207.145.1.258
Overall Collection,Prints,,,Print,49.95.2508
Overall Collection,Prints,,,Print,22.61.141
Overall Collection,Prints,,,Print,65.629.3(1.27)
Overall Collection,Prints,,,Print,49.95.2503
Overall Collection,Prints|Ephemera,,,Print,63.350.217.219.32
Overall Collection,Prints|Ornament & Architecture,,,Print Ornament & Architecture,51.540.15(16)
Overall Collection,Prints,,,Print,57.650.494
Overall Collection,Prints,,,Print,1981.1214.62
Overall Collection,Prints|Ornament & Architecture,,,Prints Ornament & Architecture,66.629.7(2)
