CaseTotalKPI,Classification,Country,Culture,ObjectName,ObjectNumber
Contentious,Textiles,United States,American,Towel,13.108.4
Mid-Point,Drawings,England,American,Drawing,26.216.7
Contentious,Sculpture,United States,American,Medal,07.251.21
Contentious,Sculpture,United States,American,Medal,08.230.7
Overall Collection,Sculpture,,American,Medal,09.8.1
Overall Collection,Sculpture,,American,Medal,3.19
Overall Collection,Textiles,,American,Curtain,Inst.69.4.1
Contentious,Textiles,United States,American,Sample,1983.414.1_.31
Contentious,Glass,United States,American,Decanter,1995.13
Mid-Point,Paintings,France,French,"Painting, miniature",2006.235.313
Overall Collection,Paintings,,British,"Painting, miniature",2006.235.304b
Overall Collection,Paintings,,American,"Painting, miniature",2006.235.175
Overall Collection,Paintings,,American,"Painting, miniature",2006.235.190
Overall Collection,Paintings,,American,"Painting, miniature",2006.235.301
Contentious,Glass,United States,American,Window,1995.204
Overall Collection,Frames,,American,Frame,F.1990.174
Overall Collection,Drawings,,American,Drawing,53.182.7 verso
Overall Collection,Drawings,,American,Drawing,36.124dd recto
Overall Collection,Drawings,,American,Drawing,33.176.12 verso
Overall Collection,Drawings,,American,Drawing,1995.379.3e recto
Overall Collection,Drawings,,American,Drawing,57.190.10 verso
Mid-Point,Silver,,Spanish,Brazier,1997.488.4
Overall Collection,Drawings,,American,Drawing,53.226.5 verso
Overall Collection,Drawings,,American,Drawing,53.182.32 recto
Overall Collection,Drawings,,American,Drawing,53.182.63 recto
Overall Collection,Drawings,,American,Drawing,53.182.70 recto
Overall Collection,Drawings,,American,Watercolor,1979.581.9
Overall Collection,Drawings,,American,Drawing,1979.581.63
Overall Collection,Drawings,,American,Drawing,1999.368.4
Contentious,Drawings,United States,American,Watercolor,1999.491
Mid-Point,Jewelry,,,Medal,2000.573
Contenders for repatriation,Jewelry,United States,American,Pin,2001.235
Contenders for repatriation,Jewelry,United States,American,Clasp,2001.333
Overall Collection,Textiles,England|United States,American or British,Sampler,2000.622
Contentious,Ceramics,United States,American,Plaque,2001.765
